GUID,Column Mark No,X,Y,Z Base,Z Top,Type Name,Shape,B,H
6accca90-eacc-4fff-a6b2-b628c2574701-00146da7,,5506.52,-2272,40900,44350.03,Column Circular Concrete_HERA22,Circular,750,0
6accca90-eacc-4fff-a6b2-b628c2574701-00146dab,,45711.52,-5172,26550,29550.11,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146dac,,32406.52,-5172,19950,26150,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146dad,,45711.52,-5172,20250,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146dae,,45711.52,-2272,20250,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146daf,,32406.52,-2272,19950,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146db0,,23006.52,-5172,20050,26150,Column Rectangular Concrete_HERA22,Rectangle,1200,1200
6accca90-eacc-4fff-a6b2-b628c2574701-00146db1,,13606.52,-2272,16200,24750,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146db2,,13606.52,-5172,16200,26150,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146db5,,56.52,-13372,16200,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146db6,,62556.52,-5172,22250,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146db7,,62556.52,-2272,22250,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146db9,,63616.52,-20972,13050,17169.27,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146dba,,63616.52,-12697,13050,16785.89,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146dbb,,56.52,-22022,16200,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146dbc,,4666.52,-22022,16200,20049.92,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146dbd,,4666.52,-13372,16200,20049.92,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146dbe,,-1088.46,-27440.91,40900,44350.03,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
6accca90-eacc-4fff-a6b2-b628c2574701-00146dc2,,23006.52,-1322.1,20050,29300,Feature Column Rectangular Concrete_HERA22,Rectangle,1250,1250
6accca90-eacc-4fff-a6b2-b628c2574701-00146dc3,,54256.52,-5172,20250,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
