,NAME,PROPNAME,STORY,X,Y,POINT 2X,POINT 2Y,Label,Z Base,Level,ret,Section
0,112,CC_1000x1000_N65,B1,-9.4,10.4,13.25,-9.4,C65,16.35,B1,0,CC_1000x1000_N65
1,113,CC_1000x800_N80,L5,-9.4,10.4,35.550000000000004,-9.4,C65,40.9,L5,0,CC_1000x800_N80
2,114,CC_1000x800_N80,L4,-9.4,10.4,32.55,-9.4,C65,35.550000000000004,L4,0,CC_1000x800_N80
3,115,CC_1000x800_N80,L3,-9.4,10.4,29.55,-9.4,C65,32.55,L3,0,CC_1000x800_N80
4,116,CC_1000x800_N80,L2,-9.4,10.4,26.55,-9.4,C65,29.55,L2,0,CC_1000x800_N80
5,117,CC_1000x1000_N65,L1,-9.4,10.4,23.28,-9.4,C65,26.55,L1,0,CC_1000x1000_N65
6,118,CC_1000x1000_N65,MEZZ,-9.4,10.4,20.05,-9.4,C65,23.28,MEZZ,0,CC_1000x1000_N65
7,186,CC_1000x1000_N65,GL,-9.4,10.4,16.35,-9.4,C65,20.05,GL,0,CC_1000x1000_N65
8,187,CC_1000x1000_N65,B1,-9.4,7.5,13.25,-9.4,C92,16.35,B1,0,CC_1000x1000_N65
9,188,CC_1000x800_N80,L5,-9.4,7.5,35.550000000000004,-9.4,C92,40.9,L5,0,CC_1000x800_N80
10,189,CC_1000x800_N80,L4,-9.4,7.5,32.55,-9.4,C92,35.550000000000004,L4,0,CC_1000x800_N80
11,190,CC_1000x800_N80,L3,-9.4,7.5,29.55,-9.4,C92,32.55,L3,0,CC_1000x800_N80
12,191,CC_1000x800_N80,L2,-9.4,7.5,26.55,-9.4,C92,29.55,L2,0,CC_1000x800_N80
13,192,CC_1000x1000_N65,L1,-9.4,7.5,23.28,-9.4,C92,26.55,L1,0,CC_1000x1000_N65
14,193,CC_1000x1000_N65,MEZZ,-9.4,7.5,20.05,-9.4,C92,23.28,MEZZ,0,CC_1000x1000_N65
15,194,CC_1000x1000_N65,GL,-9.4,7.5,16.35,-9.4,C92,20.05,GL,0,CC_1000x1000_N65
16,195,CC_1200x1200_N65,MEZZ,0.0,7.5,20.05,0.0,C93,23.28,MEZZ,0,CC_1200x1200_N65
17,196,CC_1200x1200_N65,L5,0.0,7.5,35.550000000000004,0.0,C93,40.9,L5,0,CC_1200x1200_N65
