Mon Sep  2 18:04:27 2024    profiler_stats.prof

         4895102 function calls (4595255 primitive calls) in 5.436 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.175    0.175    5.439    5.439 profile_script.py:8(main)
        1    0.000    0.000    3.754    3.754 dispatcher.py:343(_compile_for_args)
    111/1    0.001    0.000    3.754    3.754 dispatcher.py:859(compile)
     29/1    0.000    0.000    3.754    3.754 dispatcher.py:79(compile)
     29/1    0.000    0.000    3.754    3.754 dispatcher.py:86(_compile_cached)
     29/1    0.001    0.000    3.754    3.754 dispatcher.py:101(_compile_core)
     29/1    0.000    0.000    3.754    3.754 compiler.py:718(compile_extra)
     33/1    0.000    0.000    3.753    3.753 compiler.py:432(compile_extra)
     33/1    0.000    0.000    3.752    3.752 compiler.py:501(_compile_bytecode)
     33/1    0.000    0.000    3.752    3.752 compiler.py:455(_compile_core)
     37/1    0.003    0.000    3.752    3.752 compiler_machinery.py:342(run)
   925/27    0.003    0.000    3.751    0.139 compiler_lock.py:32(_acquire_compile_lock)
   824/26    0.019    0.000    3.751    0.144 compiler_machinery.py:268(_runPass)
  2466/78    0.003    0.000    3.737    0.048 compiler_machinery.py:272(check)
     27/2    0.001    0.000    3.459    1.730 typed_passes.py:437(run_pass)
     27/2    0.000    0.000    3.122    1.561 lowering.py:182(lower)
     27/2    0.000    0.000    3.058    1.529 lowering.py:218(lower_normal_function)
     27/2    0.001    0.000    3.054    1.527 lowering.py:235(lower_function_body)
   129/48    0.004    0.000    3.054    0.064 lowering.py:260(lower_block)
 1377/398    0.006    0.000    3.049    0.008 lowering.py:442(lower_inst)
  599/161    0.001    0.000    3.016    0.019 lowering.py:650(lower_assign)
   256/63    0.001    0.000    3.008    0.048 lowering.py:1170(lower_expr)
   228/43    0.000    0.000    2.955    0.069 base.py:1189(__call__)
   228/43    0.000    0.000    2.955    0.069 base.py:1218(wrapper)
    94/16    0.001    0.000    2.926    0.183 lowering.py:900(lower_call)
    90/16    0.001    0.000    2.926    0.183 lowering.py:1142(_lower_call_normal)
    110/5    0.000    0.000    2.906    0.581 functions.py:534(get_call_type)
    110/5    0.001    0.000    2.905    0.581 dispatcher.py:303(get_call_template)
     38/5    0.000    0.000    2.840    0.568 typed_passes.py:105(run_pass)
     38/5    0.001    0.000    2.840    0.568 typed_passes.py:68(type_inference_stage)
  550/116    0.001    0.000    2.821    0.024 context.py:189(resolve_function_type)
  550/116    0.002    0.000    2.820    0.024 context.py:233(_resolve_user_function_type)
     38/5    0.000    0.000    2.818    0.564 typeinfer.py:1072(propagate)
    78/12    0.004    0.000    2.818    0.235 typeinfer.py:147(propagate)
  508/100    0.004    0.000    2.807    0.028 typeinfer.py:585(resolve)
   280/48    0.002    0.000    2.805    0.058 typeinfer.py:575(__call__)
  500/100    0.001    0.000    2.803    0.028 typeinfer.py:1539(resolve_call)
        1    0.000    0.000    2.748    2.748 setobj.py:1301(set_add)
        1    0.000    0.000    2.748    2.748 setobj.py:498(add)
  528/102    0.011    0.000    2.741    0.027 functions.py:281(get_call_type)
 2174/660    0.004    0.000    2.716    0.004 templates.py:348(apply)
  626/195    0.001    0.000    2.674    0.014 templates.py:606(generic)
  626/195    0.003    0.000    2.673    0.014 templates.py:697(_get_impl)
        1    0.000    0.000    2.655    2.655 setobj.py:59(get_hash_value)
     46/7    0.001    0.000    2.653    0.379 templates.py:748(_build_impl)
     33/5    0.000    0.000    2.542    0.508 untyped_passes.py:1646(run_pass)
    14/10    0.000    0.000    2.244    0.224 functions.py:389(get_call_type)
      6/2    0.000    0.000    2.243    1.121 templates.py:1129(generic)
      9/3    0.000    0.000    2.242    0.747 templates.py:1075(_get_signature)
